CME,CME Group Inc.,211.84,0.032
MO,Altria Group, Inc.,44.29,-0.01
APH,Amphenol Corporation,126.61,0.095
ZTS,Zoetis Inc.,164.92,0.095
EOG,EOG Resources, Inc.,129.83,0.047
TT,Trane Technologies plc,327.6,0.15
TGT,Target Corporation,159.59,0.017
ITW,Illinois Tool Works Inc.,247.4,-0.011
TDG,Transdigm Group Incorporated,1315.0,0.205
MCO,Moody's Corporation,395.94,0.215
FCX,Freeport-McMoRan, Inc.,49.96,0.173
MCK,McKesson Corporation,543.61,0.108
PH,Parker-Hannifin Corporation,554.91,0.003
CTAS,Cintas Corporation,690.54,0.099
NOC,Northrop Grumman Corporation,471.61,0.089
CVS,CVS Health Corporation,54.91,0.036
SLB,Schlumberger N.V.,47.86,0.126
BDX,Becton, Dickinson and Company,233.58,0.046
MAR,Marriott International,235.35,0.052
CSX,CSX Corporation,34.22,-0.007
PYPL,PayPal Holdings, Inc.,63.81,0.094
ECL,Ecolab Inc.,233.23,0.178
NXPI,NXP Semiconductors N.V.,260.21,0.002
EQIX,Equinix, Inc.,692.71,0.154
CEG,Constellation Energy Corporatio,208.0,-0.21
USB,U.S. Bancorp,41.69,-0.087
EMR,Emerson Electric Company,112.65,0.221
MPC,Marathon Petroleum Corporation,180.93,-0.056
FDX,FedEx Corporation,258.01,0.139
PNC,PNC Financial Services Group, I,157.21,-0.07
PSX,Phillips 66,146.94,0.041
AON,Aon plc,283.81,0.051
ORLY,O'Reilly Automotive, Inc.,1020.34,0.072
MSI,Motorola Solutions, Inc.,359.02,0.1
RSG,Republic Services, Inc.,187.33,0.078
WELL,Welltower Inc.,98.4,0.192
CARR,Carrier Global Corporation,64.31,0.172
MNST,Monster Beverage Corporation,54.3,0.118
OXY,Occidental Petroleum Corporatio,63.68,-0.168
PCAR,PACCAR Inc.,107.05,0.032
ROP,Roper Technologies, Inc.,521.05,0.144
SPG,Simon Property Group, Inc.,147.88,0.064
APD,Air Products and Chemicals, Inc,246.27,-0.084
COF,Capital One Financial Corporati,142.83,0.1
AJG,Arthur J. Gallagher & Co.,245.01,0.199
MMM,3M Company,96.35,-0.003
CPRT,Copart, Inc.,55.16,0.066
AIG,American International Group, I,79.89,0.154
TFC,Truist Financial Corporation,39.39,-0.229
NSC,Norfolk Southern Corporation,232.14,-0.041
VLO,Valero Energy Corporation,157.07,-0.133
GM,General Motors Company,45.05,0.076
EW,Edwards Lifesciences Corporatio,85.09,0.095
AZO,AutoZone, Inc.,2962.52,0.046
MET,MetLife, Inc.,71.66,0.043
DXCM,DexCom, Inc.,127.42,0.242
HLT,Hilton Worldwide Holdings Inc.,200.39,0.124
TRV,The Travelers Companies, Inc.,217.34,0.157
MCHP,Microchip Technology Incorporat,91.99,-0.406
DHI,D.R. Horton, Inc.,147.74,0.142
HES,Hess Corporation,157.66,0.377
F,Ford Motor Company,12.15,0.031
AFL,AFLAC Incorporated,84.83,0.133
SMCI,Super Micro Computer, Inc.,822.64,2.0
WMB,Williams Companies, Inc. (The),39.32,0.08
NEM,Newmont Corporation,41.54,0.502
AEP,American Electric Power Company,90.58,0.071
O,Realty Income Corporation,54.79,0.335
SRE,DBA Sempra,75.23,0.01
STZ,Constellation Brands, Inc.,258.36,0.071
PSA,Public Storage,269.02,0.057
MRNA,Moderna, Inc.,121.89,-0.91
PCG,Pacific Gas & Electric Co.,17.84,-0.056
GWW,W.W. Grainger, Inc.,948.92,0.035
EL,Estee Lauder Companies, Inc. (T,129.53,0.05
OKE,ONEOK, Inc.,79.14,0.058
KMB,Kimberly-Clark Corporation,135.93,-0.009
ADSK,Autodesk, Inc.,213.95,0.115
KDP,Keurig Dr Pepper Inc.,33.7,0.034
FTNT,Fortinet, Inc.,59.63,0.072
URI,United Rentals, Inc.,677.84,0.061
GEV,GE Vernova Inc.,164.0,0.064
ALL,Allstate Corporation (The),170.28,0.107
DLR,Digital Realty Trust, Inc.,140.25,-0.028
COR,Cencora, Inc.,224.11,0.078
ROST,Ross Stores, Inc.,132.76,0.155
TEL,TE Connectivity Ltd. New Switze,144.8,-0.046
JCI,Johnson Controls International ,65.24,0.002
D,Dominion Energy, Inc.,52.15,-0.065
